gate4_section,page,brand,model,prior_status,verified_value,primary_source,gate4_notes
B1,content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,Fujitsu,XLTH (RLS3H + KZAH1),PENDING-RESEARCH,up to 33.1 SEER2 / 13.3 HSPF2 / -15F / R-32,fujitsugeneral.com,"B1: moved from PENDING-RESEARCH to verified with line-distinction note."
B1,content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,Fujitsu,XLTH (9/12/15RLS3H + KZAH1),PENDING-RESEARCH,Verified,fujitsugeneral.com,"B1: row + ""What about Fujitsu/LG/Carrier/MrCool/C&H?"" FAQ + ""Which mini split brand is best for cold climates?"" FAQ all updated."
B1,content/mini-split-air-conditioners/mini-split-in-cold-climates.mdx,Fujitsu,XLTH,Pending AHRI cert verification,Verified at -15F per Fujitsu General spec,fujitsugeneral.com,"B1: ""What is the best mini split for cold weather?"" FAQ updated."
B2,content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,LG,Art Cool Premier 12K (LA120HYV3 / LAU120HYV3),PENDING-RESEARCH,25.5 SEER2 / 13.8 EER2 / 11.2 HSPF2 / R-410A / Production Stopped,LG installation manual (media.us.lg.com),"B2: moved from PENDING-RESEARCH to verified — legacy. 27.0 SEER2 = 9K variant (the figure previously misattributed to 12K as 27.5). Production Stopped per AIM Act mfr cutoff Jan 1 2025."
B2,content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,LG,Art Cool Premier 12K,PENDING-RESEARCH,Verified - legacy,media.us.lg.com,"B2: row updated with full specs + Production Stopped label."
B2,content/mini-split-air-conditioners/mini-split-for-bedroom.mdx,LG,Art Cool Premier 09 (9K),27.5 SEER2,27.0 SEER2,media.us.lg.com,"B2: 9K corrected 27.5 → 27.0. Added footnote noting R-410A / Production Stopped status."
B2,content/mini-split-air-conditioners/smallest-mini-splits.mdx,LG,Art Cool Premier 09,27.5 SEER2,27.0 SEER2,media.us.lg.com,"B2: same correction + footnote."
B2,content/mini-split-air-conditioners/mini-split-air-conditioners.mdx,LG,(brand-overview),17-27.5 SEER2 range,17-27.0 SEER2 + AIM Act + R-410A / R-32 / R-454B transition footnote,media.us.lg.com,"B2: brand-overview row corrected; footnote re: AIM Act + state caveat (NY codified Jan 1 2026 install ban)."
B3,content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,Cooper & Hunter,Sophia (CH-12SPH),PENDING-RESEARCH (with -22F / 23 SEER2 prior claim),21.5 SEER2 / R-410A / ~-13F (Sophia); separate HPR line 24 SEER2 / -22F (mfr-rated),cooperandhunter.us,"B3: line-conflation fix. Sophia (standard line) vs Hyper Heat/HPR (separate line) now properly distinguished. -22F belongs to HPR (manufacturer-rated, not AHRI-tested), not Sophia."
B3,content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,Cooper & Hunter,Sophia,PENDING-RESEARCH,21.5 SEER2 / R-410A / ~-13F (Sophia); HPR -22F mfr-rated,cooperandhunter.us,"B3: row + brand-overview clarification."
B3,content/mini-split-air-conditioners/mini-split-air-conditioners.mdx,Cooper & Hunter,Sophia,"17-23 / Down to -22F (Sophia)",17-24 (HPR) / Sophia ~-13F / HPR -22F mfr-rated,cooperandhunter.us,"B3: brand-overview row corrected + footnote distinguishing Sophia from HPR line."
B3,content/mini-split-air-conditioners/best-diy-mini-splits.mdx,Cooper & Hunter,Sophia,"23 SEER2 / -22F (claimed)",21.5 SEER2 / R-410A / ~-13F per cooperandhunter.us,cooperandhunter.us,"B3: table row + #3 section + Key Takeaway + table footnote all rewritten with line distinction + R-410A AIM Act caveat."
B3,Multiple,Cooper & Hunter / brand-blanket,"""Mitsubishi H2i, Daikin Aurora, Fujitsu XLTH ... -13F to -22F""",Per-brand temps attributed to verified sources,mfr sources,"B3 sweep: any blanket ""XLTH operates to -22F"" copy reframed to attribute temps to verified sources rather than lumping XLTH with -22F claims. Covers: mini-split-in-cold-climates, mini-split-vs-central-air, what-is-a-mini-split, mrcool-diy-mini-split-review, mini-split-sizing-calculator."
B4,content/hvac-brands/best-central-ac-brands.mdx,Lennox,XC25 (2/3/5-ton comparison tables),26 SEER2,up to 26* (footnoted),lennox.com / AHRI Directory,"B4: bare ""26 SEER2"" replaced with ""up to 26*"" + footnote on SEER vs SEER2 ambiguity + match-dependency + SL25KCV/SL28XCV as current Lennox variable-capacity flagship."
B4,content/hvac-brands/best-hvac-brands-ranked.mdx,Lennox,XC25,26 SEER2 (decision matrix + comparison + bottom-line + Example 3 + FAQ),up to 26* (framed),lennox.com,"B4: comparison table + bottom-line + Example 3 (Riveras Miami) rewritten to reflect match-dependency; Key Takeaway bullet; ""Is Lennox worth the extra money?"" FAQ."
B4,content/energy-efficiency-ratings/seer2-rating-explained.mdx,Lennox,XC25,26 SEER2 (manufacturer comparison row),up to 26* (footnoted),lennox.com / AHRI Directory,"B4: row corrected; footnote added."
B4,content/energy-efficiency-ratings/eer2-rating-explained.mdx,Lennox,XC25,25.5 SEER2,up to 26* (footnoted),lennox.com / AHRI Directory,"B4: row corrected (25.5 → up to 26 for consistency with match-dependent framing); footnote added."
B4,content/energy-efficiency-ratings/seer-rating-tax-credits.mdx,Lennox,"XC21, XC25",19-26 SEER2,19 to up to 26* (footnoted),lennox.com,"B4: row corrected; footnote also folds in §A 25C expiration reminder."
B4,content/energy-efficiency-ratings/eer-chart-for-ac-units.mdx,Lennox,XC25,25.5 SEER2,up to 26* (footnoted),lennox.com,"B4: row corrected; footnote added."
B5,content/mini-split-air-conditioners/mrcool-3rd-gen-vs-4th-gen.mdx,MrCool,DIY 4th Gen,Presented as current,Labeled as legacy R-410A; 5th Gen (23.5 SEER2 / R-454B / cold-climate cert) is current,mrcool.com,"B5: 5th-Gen callout added; Key Takeaways rewritten with generation timeline + §A 25C-expiration note."
B5,content/mini-split-air-conditioners/mrcool-diy-mini-split-review.mdx,MrCool,DIY 4th Gen,Presented as current,Labeled as legacy R-410A; 5th Gen current,mrcool.com,"B5: 5th-Gen callout added immediately under hero so review's R-410A assumption is framed up front."
B5,content/mini-split-air-conditioners/mini-split-air-conditioners.mdx,MrCool,(brand-overview),17-22 SEER2 / -4F (4th Gen),17-23.5 (5th Gen) / -4F (4th Gen std) + 5th Gen cold-climate cert,mrcool.com,"B5: brand-overview row + ""Best for DIY"" prose updated."
B5,content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,MrCool,DIY 5th Gen (current),PENDING-RESEARCH,23.5 SEER2 / R-454B / cold-climate cert,mrcool.com,"B5: moved from PENDING-RESEARCH to verified; 4th Gen R-410A legacy / 5th Gen R-454B current distinction."
B5,content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,MrCool,DIY 5th Gen,PENDING-RESEARCH,Verified mfr-pub,mrcool.com,"B5: row + ""What about Fujitsu/LG/Carrier/MrCool/C&H?"" FAQ updated to include 5th Gen R-454B distinction."
C,content/heat-pumps/best-cold-climate-heat-pumps.mdx,Fujitsu,XLTH,asserted as cold-climate-listed,Confirmed on NEEP Cold Climate ASHP list at -15F,neep.org,"C: NEEP listing confirmed."
C,content/heat-pumps/best-cold-climate-heat-pumps.mdx,Mitsubishi,SUZ-KA Hyper-Heat,asserted as cold-climate-listed,Confirmed via H2i tech (shared with MSZ-FS / MSZ-FH listed on NEEP),neep.org,"C: NEEP listing confirmed via shared H2i tech; SKU-level verification recommended."
C,content/heat-pumps/best-cold-climate-heat-pumps.mdx,Bosch,IDS 2.0,asserted as cold-climate,NEEP cross-check pending,neep.org,"C: NEEP cross-check pending; SKU not confirmed on public list."
C,content/heat-pumps/best-cold-climate-heat-pumps.mdx,Daikin,Aurora MXL,asserted as cold-climate,NEEP cross-check pending (single-zone Aurora is AHRI-cert verified at -13F; MXL multi-zone variant not SKU-confirmed),neep.org,"C: MXL multi-zone variant NEEP cross-check pending."
C,content/heat-pumps/best-cold-climate-heat-pumps.mdx,Carrier,Infinity 24,asserted as cold-climate,NEEP cross-check pending,neep.org,"C: NEEP cross-check pending."
C,content/heat-pumps/best-cold-climate-heat-pumps.mdx,MrCool,Advantage,asserted as cold-climate,NEEP cross-check pending + R-410A AIM Act caveat,neep.org,"C: NEEP cross-check pending; also flagged as R-410A legacy with pointer to current MrCool DIY 5th Gen (R-454B + cold-climate cert)."
