page,file_line,brand,model,spec_type,stated_value,primary_source,verified_value,status,notes,gate2_status,gate2_notes
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,42,Daikin,Aurora (12K),SEER2,25.5,AHRI #215710688 / manufacturer,20-21 SEER2,WRONG,"Site claims 25.5 SEER2; the actual Aurora 12K RXT12AVJU9/FTXV12AVJU9 is 19.5-21.0 SEER2 per manufacturer and the AHRI cert. Off by ~4.5 SEER2.",CORRECTED,B3: applied 20.0/21.0 SEER2 / 10.2 HSPF2 / 12.0 EER2 per totalhomesupply + Daikin submittal
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,42,Daikin,Aurora (12K),Warranty (yrs),12,manufacturer,12 (parts) when registered,OK,"Daikin Aurora carries a 12-year parts warranty with registration through Daikin Comfort Pro.",OK-RETAINED,passed audit; left in place
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,42,Daikin,Aurora (12K),HSPF2,13.0,AHRI / manufacturer,10.2-10.5,WRONG,"Site claims 13.0 HSPF2; manufacturer-published HSPF2 for Aurora 12K is 10.2-10.5. Off by ~2.5+.",CORRECTED,B3: applied 20.0/21.0 SEER2 / 10.2 HSPF2 / 12.0 EER2 per totalhomesupply + Daikin submittal
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,44,Senville,SENL-12CD,SEER2,19.0,manufacturer / Amazon / AHRI cert,21.2-21.3,WRONG,"Site UNDERSTATES Senville SEER2. The LETO/SENL-12CD is published at 21.2 (115V) and 21.3 (220V) SEER2. Off by ~2.2 SEER2.",CORRECTED,B4: applied 21.2/21.3 SEER2 per Senville LETO spec sheet (site was understated)
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,44,Senville,SENL-12CD,Price USD,600-900,retailer surveys,~700-1000,OK,"Approximately correct for budget Senville pricing.",OK-RETAINED,passed audit; left in place
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,51,Mitsubishi,MSZ-FS,SEER2,40.1,AHRI Directory,26.1-32.2 across line,WRONG,"Third repetition of the fabricated 40.1 SEER2.",CORRECTED,B1: applied 26.3 SEER2 / 13.8 EER2 / 10.4-11.1 HSPF2 per gotductless+Ferguson submittal; FX-Series 12K (29.9 SEER2 R-454B) introduced as new top pick
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,51,Mitsubishi,MSZ-FS,HSPF2,14.2,AHRI Directory,~11.9 (6K) / ~10.5-11 (12K),WRONG,"14.2 HSPF2 would be best-in-class. Mitsubishi MSZ-FS in published AHRI data tops out around 11.9 HSPF2 for the 6K variant. Off by ~2.3 HSPF2.",CORRECTED,B1: applied 26.3 SEER2 / 13.8 EER2 / 10.4-11.1 HSPF2 per gotductless+Ferguson submittal; FX-Series 12K (29.9 SEER2 R-454B) introduced as new top pick
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,56,Mitsubishi,MSZ-FS12,SEER2,40.1,AHRI Directory,26.1-26.3,WRONG,"Spec table line. Same falsification.",CORRECTED,B1: applied 26.3 SEER2 / 13.8 EER2 / 10.4-11.1 HSPF2 per gotductless+Ferguson submittal; FX-Series 12K (29.9 SEER2 R-454B) introduced as new top pick
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,56,Mitsubishi,MSZ-FS15,SEER2,33.5,AHRI Directory,~22-25 (estimated for 15K),WRONG/UNVERIFIABLE,"15K typically lower than 12K; 33.5 SEER2 is implausible if 12K is real ~26.",PENDING-AHRI,Not in locked file batch 1; pull AHRI cert before publishing
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,56,Mitsubishi,MSZ-FS18,SEER2,28.0,AHRI Directory,~20-22 (estimated for 18K),UNVERIFIABLE,"Larger units lose SEER2 efficiency; 28 SEER2 for 18K is high but plausible at top tier.",PENDING-AHRI,Not in locked file batch 1; pull AHRI cert before publishing
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,57,Mitsubishi,MSZ-FS12,EER2,16.5,manufacturer / AHRI,~10-12,WRONG,"EER2 of 16.5 is wildly high; typical premium mini-splits have EER2 in 10-13 range.",CORRECTED,B1: applied 26.3 SEER2 / 13.8 EER2 / 10.4-11.1 HSPF2 per gotductless+Ferguson submittal; FX-Series 12K (29.9 SEER2 R-454B) introduced as new top pick
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,58,Mitsubishi,MSZ-FS12,HSPF2,14.2,manufacturer / AHRI,~10-11,WRONG,"Restated 14.2 HSPF2.",CORRECTED,B1: applied 26.3 SEER2 / 13.8 EER2 / 10.4-11.1 HSPF2 per gotductless+Ferguson submittal; FX-Series 12K (29.9 SEER2 R-454B) introduced as new top pick
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,62,Mitsubishi,MSZ-FS,Refrigerant,R-410A,manufacturer datasheet,Transitioning per AIM Act,UNVERIFIABLE,"As of Jan 1 2026, new residential heat-pump installations must use refrigerant with GWP<700, ruling out R-410A. Mitsubishi has transitioned much of the line to R-454B. Verify Mitsubishi's current MSZ-FS refrigerant against the manufacturer site; if R-410A, note that production-cutoff/install-cutoff rules apply.",CORRECTED,A2+B1: noted R-410A on sold-through FS stock; current new lineup is R-454B per locked file
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,63,Mitsubishi,MSZ-FS,Warranty compressor (yrs),12,manufacturer,12 (with registration),OK,"Standard Mitsubishi parts warranty when registered through Diamond Contractor.",OK-RETAINED,passed audit; left in place
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,66,Mitsubishi,MSZ-FS,SEER2 (claim ""highest""),40.1,AHRI Directory,No MSZ-FS reaches 40 SEER2,WRONG,"Compounds the misrepresentation: ""No other mini split matches 40.1 SEER2"" — false. No mini-split achieves 40.1 SEER2; highest in market ~33.1 (Fujitsu).",CORRECTED,B1: applied 26.3 SEER2 / 13.8 EER2 / 10.4-11.1 HSPF2 per gotductless+Ferguson submittal; FX-Series 12K (29.9 SEER2 R-454B) introduced as new top pick
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,70,Mitsubishi,MSZ-FS,Refrigerant,R-410A,manufacturer,Transitioning,UNVERIFIABLE,"Restated. Same caveat as line 62.",CORRECTED,A2+B1: noted R-410A on sold-through FS stock; current new lineup is R-454B per locked file
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,109,Mitsubishi,MSZ-FH 12K,HSPF2,13.5,AHRI,~11-12,UNVERIFIABLE/HIGH,"13.5 HSPF2 for the 12K MSZ-FH is at the very top of plausibility; verify against AHRI cert.",PENDING-RESEARCH,
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,153,Senville,SENL-12CD,Min heat °F,-22,manufacturer (""claimed"") / independent,5°F (manufacturer) to -15°F at best,WRONG,"Site marks ""-22°F (claimed)"" but presents in spec table. Manufacturer datasheets show -15°C (5°F) to -15°F maximum, not -22°F. The article's body text acknowledges the discrepancy but the headline claim remains.",CORRECTED,B4: stripped -22F claim, applied -13F/-25C spec / ~5F effective per Senville LETO spec sheet
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,155,Senville,SENL-12CD,Warranty compressor (yrs),7,manufacturer,5,WRONG,"Senville LETO standard warranty is 5 years parts + 5 years compressor (some kits 7 with registration); site claim of 7 is at the upper bound and not verified.",CORRECTED,B4: applied 10yr compressor + 10yr parts per Senville LETO spec sheet
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,210,Mitsubishi,MSZ-FS,SEER2,40.1,AHRI Directory,26.1-32.2 across line,WRONG,"FAQ answer restates 40.1 SEER2 as ""the highest certified efficiency ratings of any residential mini split in North America"" — verifiably false.",CORRECTED,B1: applied 26.3 SEER2 / 13.8 EER2 / 10.4-11.1 HSPF2 per gotductless+Ferguson submittal; FX-Series 12K (29.9 SEER2 R-454B) introduced as new top pick
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,210,Carrier,40HQV,SEER2,42.0,AHRI Directory,No model 40HQV located,WRONG/CATEGORY ERROR,"40HQV is not a recognized Carrier ductless model number. Carrier ductless families are 38MPR/40MP (Infinity), 38MAR/40MA, etc. The site is conflating a model number from another category (or a typo) and presenting it in a mini-split comparison.",DELETED,B5: phantom model removed sitewide
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,210,Fujitsu,RLS3H,SEER2,33.0,AHRI Directory,~29-33 (varies),UNVERIFIABLE,"Plausible for top RLS3H variants; verify per SKU.",PENDING-RESEARCH,Section F: untouched per hard rule; verify before publishing
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,210,Fujitsu,RLS3H,HSPF2,14.0,AHRI Directory,~11-12,UNVERIFIABLE/HIGH,"14.0 HSPF2 is at the upper bound; verify against AHRI cert.",PENDING-RESEARCH,Section F: untouched per hard rule; verify before publishing
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,29,Mitsubishi,MSZ-FS,SEER2,40.1,AHRI Directory,26.1-32.2 across line,WRONG,"Same falsification in a different article.",CORRECTED,B1: applied 26.3 SEER2 / 13.8 EER2 / 10.4-11.1 HSPF2 per gotductless+Ferguson submittal; FX-Series 12K (29.9 SEER2 R-454B) introduced as new top pick
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,64,Mitsubishi,MSZ-FS (H2i Plus),SEER2,Up to 40.1,AHRI Directory,Up to ~32.2 (6K),WRONG,"Restated.",CORRECTED,B1: applied 26.3 SEER2 / 13.8 EER2 / 10.4-11.1 HSPF2 per gotductless+Ferguson submittal; FX-Series 12K (29.9 SEER2 R-454B) introduced as new top pick
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,64,Mitsubishi,MSZ-FS (H2i Plus),HSPF2,Up to 14.2,AHRI Directory,Up to ~11.9,WRONG,"Restated.",CORRECTED,B1: applied 26.3 SEER2 / 13.8 EER2 / 10.4-11.1 HSPF2 per gotductless+Ferguson submittal; FX-Series 12K (29.9 SEER2 R-454B) introduced as new top pick
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,69,Mitsubishi,MSZ-FS,SEER2,40.1,AHRI Directory,No MSZ-FS reaches 40 SEER2,WRONG,"Restated as standalone sentence.",CORRECTED,B1: applied 26.3 SEER2 / 13.8 EER2 / 10.4-11.1 HSPF2 per gotductless+Ferguson submittal; FX-Series 12K (29.9 SEER2 R-454B) introduced as new top pick
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,95,Daikin,Aurora (DERA),SEER2,Up to 25.5,manufacturer / AHRI,~21,WRONG,"Daikin Aurora tops out at 21 SEER2 per current manufacturer specs.",CORRECTED,B3: applied 20.0/21.0 SEER2 / 10.2 HSPF2 / 12.0 EER2 per totalhomesupply + Daikin submittal
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,95,Daikin,Aurora (DERA),HSPF2,Up to 13.0,manufacturer,~10.2-10.5,WRONG,"Aurora HSPF2 cap is ~10.5.",CORRECTED,B3: applied 20.0/21.0 SEER2 / 10.2 HSPF2 / 12.0 EER2 per totalhomesupply + Daikin submittal
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,129,Fujitsu,RLS3H,SEER2,33.0,manufacturer/AHRI,~29-33,UNVERIFIABLE,"Verify by SKU.",PENDING-RESEARCH,Section F: untouched per hard rule; verify before publishing
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,148,LG,Art Cool Premier,SEER2,Max 27.5,manufacturer,~22-28,UNVERIFIABLE,"Top LG Art Cool Premier units do reach ~28 SEER2; verify SKU.",PENDING-RESEARCH,
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,148,LG,Art Cool Premier,HSPF2,Max 11.5,manufacturer,~10-12,OK,"Plausible.",OK-RETAINED,passed audit; left in place
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,165,Carrier,40HQV (Ductless),SEER2,Max 42.0,AHRI Directory,Model number not found,WRONG/CATEGORY ERROR,"Same 40HQV mystery model. Carrier's top single-zone ductless is the Infinity 38MPR series, typically ~23 SEER2.",DELETED,B5: phantom model removed sitewide
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,166,Carrier,40HQV,HSPF2,Max 15.0,AHRI Directory,Model not found,WRONG,"15.0 HSPF2 would exceed every certified mini-split on the market.",DELETED,B5: phantom model removed sitewide
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,168,Carrier,40HQV,Min heat °F,-22,manufacturer,Model not found,WRONG,"-22°F is implausible for any non-Senville-style ""claimed"" mini-split.",DELETED,B5: phantom model removed sitewide
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,200,MrCool,DIY 4th Gen,SEER2,22.0,manufacturer / AHRI,~20-22,OK,"Plausible.",PENDING-RESEARCH,Section F: untouched per hard rule; verify before publishing
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,203,MrCool,DIY 4th Gen,Min heat °F,-4,manufacturer,-4 (low-temp model),OK,"Correct for 4th Gen DIY low-ambient model.",PENDING-RESEARCH,Section F: untouched per hard rule; verify before publishing
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,228,Senville,SENL,SEER2,Max 19.0,manufacturer,Up to 21.2-21.3,WRONG,"Understates Senville top SEER2 by ~2.2.",CORRECTED,B4: applied 21.2/21.3 SEER2 per Senville LETO spec sheet (site was understated)
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,230,Senville,SENL-HF,Min heat °F,-22,manufacturer (""claimed""),5°F to -15°F,WRONG,"Marked ""claimed"" but presented as spec. Real published value is much higher.",CORRECTED,B4: stripped -22F claim, applied -13F/-25C spec / ~5F effective per Senville LETO spec sheet
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,245,Cooper&Hunter,Sophia,SEER2,Max 23.0,manufacturer,~21-23,OK,"Plausible.",PENDING-RESEARCH,Section F: untouched per hard rule; verify before publishing
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,248,Cooper&Hunter,Sophia,Min heat °F,-22,manufacturer (""claimed""),Varies,UNVERIFIABLE,"Same ""claimed"" pattern. Verify per SKU.",PENDING-RESEARCH,Section F: untouched per hard rule; verify before publishing
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,259,Mitsubishi,MSZ-FH12NA,SEER2,33.1,AHRI Directory,~32-33,OK,"Roughly correct for the MSZ-FH12NA Hyper-Heat.",PENDING-AHRI,Not in locked file batch 1; pull AHRI cert before publishing
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,260,Daikin,Aurora 12,SEER2,25.5,manufacturer / AHRI,~21,WRONG,"Restated overstatement.",CORRECTED,B3: applied 20.0/21.0 SEER2 / 10.2 HSPF2 / 12.0 EER2 per totalhomesupply + Daikin submittal
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,261,Fujitsu,RLS3H 12,SEER2,33.0,manufacturer,~29-33,UNVERIFIABLE,"Verify.",PENDING-RESEARCH,Section F: untouched per hard rule; verify before publishing
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,262,LG,Art Cool Premier 12,SEER2,27.5,manufacturer,~22-28,UNVERIFIABLE,"Verify.",PENDING-RESEARCH,
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,263,Carrier,40HQV 12,SEER2,42.0,AHRI,Model not found,WRONG,"Restated mystery model.",DELETED,B5: phantom model removed sitewide
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,264,MrCool,DIY 4th Gen 12,SEER2,22.0,manufacturer,~20-22,OK,"Plausible.",PENDING-RESEARCH,Section F: untouched per hard rule; verify before publishing
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,265,Cooper&Hunter,Sophia 12,SEER2,23.0,manufacturer,~21-23,OK,"Plausible.",PENDING-RESEARCH,Section F: untouched per hard rule; verify before publishing
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,266,Senville,SENL-12CD,SEER2,19.0,manufacturer,21.2-21.3,WRONG,"Restated understatement.",CORRECTED,B4: applied 21.2/21.3 SEER2 per Senville LETO spec sheet (site was understated)
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,332,Mitsubishi,MSZ-FS,SEER2 (claim ""#1 overall""),40.1,AHRI Directory,No MSZ-FS at 40 SEER2,WRONG,"Sixth+ restatement across this file.",CORRECTED,B1: applied 26.3 SEER2 / 13.8 EER2 / 10.4-11.1 HSPF2 per gotductless+Ferguson submittal; FX-Series 12K (29.9 SEER2 R-454B) introduced as new top pick
content/mini-split-air-conditioners/daikin-mini-split-reviews.mdx,35,Daikin,Aurora,SEER2,Up to 25.5,manufacturer / AHRI #215710688,Up to ~21,WRONG,"Restated.",CORRECTED,B3: applied 20.0/21.0 SEER2 / 10.2 HSPF2 / 12.0 EER2 per totalhomesupply + Daikin submittal
content/mini-split-air-conditioners/daikin-mini-split-reviews.mdx,35,Daikin,Aurora,HSPF2,Up to 13.0,manufacturer / AHRI,~10.2-10.5,WRONG,"Restated.",CORRECTED,B3: applied 20.0/21.0 SEER2 / 10.2 HSPF2 / 12.0 EER2 per totalhomesupply + Daikin submittal
content/mini-split-air-conditioners/daikin-mini-split-reviews.mdx,36,Daikin,Emura,SEER2,Up to 22.0,manufacturer,~17-22,OK,"Plausible top tier.",OK-RETAINED,passed audit; left in place
content/mini-split-air-conditioners/daikin-mini-split-reviews.mdx,38,Daikin,Quaternity,SEER2,Up to 24.8,manufacturer,~20-25,UNVERIFIABLE,"Verify per SKU.",PENDING-RESEARCH,
content/mini-split-air-conditioners/daikin-mini-split-reviews.mdx,40,Daikin,Ceiling cassette,SEER2,Up to 19.5,manufacturer,~18-20,OK,"Plausible.",OK-RETAINED,passed audit; left in place
content/mini-split-air-conditioners/daikin-mini-split-reviews.mdx,52,Daikin,Aurora 12K,BTU heating at 47°F,13600,manufacturer,~13500,OK,"Within rounding.",OK-RETAINED,passed audit; left in place
content/mini-split-air-conditioners/daikin-mini-split-reviews.mdx,53,Daikin,Aurora 12K,BTU heating at 5°F,12000,manufacturer (100% rated),12000 (100% at 5°F),OK,"Matches manufacturer claim.",OK-RETAINED,passed audit; left in place
content/mini-split-air-conditioners/daikin-mini-split-reviews.mdx,54,Daikin,Aurora 12K,Min heat °F,-13,manufacturer,-13,OK,"Matches manufacturer spec.",OK-RETAINED,passed audit; left in place
content/mini-split-air-conditioners/daikin-mini-split-reviews.mdx,55,Daikin,Aurora 12K,SEER2,25.5,manufacturer / AHRI,19.5-21.0,WRONG,"Off by ~4-6 SEER2.",CORRECTED,B3: applied 20.0/21.0 SEER2 / 10.2 HSPF2 / 12.0 EER2 per totalhomesupply + Daikin submittal
content/mini-split-air-conditioners/daikin-mini-split-reviews.mdx,56,Daikin,Aurora 12K,HSPF2,13.0,manufacturer / AHRI,10.2-10.5,WRONG,"Off by ~2.5 HSPF2.",CORRECTED,B3: applied 20.0/21.0 SEER2 / 10.2 HSPF2 / 12.0 EER2 per totalhomesupply + Daikin submittal
content/mini-split-air-conditioners/daikin-mini-split-reviews.mdx,57,Daikin,Aurora 12K,EER2,13.5,manufacturer / AHRI,12.0,WRONG,"Real Aurora 12K EER2 is 12.0; off by 1.5.",CORRECTED,B3: applied 20.0/21.0 SEER2 / 10.2 HSPF2 / 12.0 EER2 per totalhomesupply + Daikin submittal
content/mini-split-air-conditioners/daikin-mini-split-reviews.mdx,60,Daikin,Aurora 12K,Refrigerant,R-32,manufacturer,R-32,OK,"Correct.",OK-RETAINED,passed audit; left in place
content/mini-split-air-conditioners/daikin-mini-split-reviews.mdx,62,Daikin,Aurora 12K,Warranty (yrs),12,manufacturer,12 (parts when registered),OK,"Correct.",OK-RETAINED,passed audit; left in place
content/mini-split-air-conditioners/daikin-mini-split-reviews.mdx,80,Mitsubishi,MSZ-FH,Refrigerant,R-410A,manufacturer,Transitioning,UNVERIFIABLE,"As above; transition rule applies.",CORRECTED,A2 refrigerant framing: noted current new lineup is R-454B per locked file
content/mini-split-air-conditioners/senville-mini-split-reviews.mdx,35,Senville,SENL-09CD,SEER2,19.0,manufacturer,~20 (varies),UNVERIFIABLE/UNDERSTATED,"Senville published values are typically higher than 19; verify per model variant.",CORRECTED,B4: applied 21.2/21.3 SEER2 per Senville LETO spec sheet (site was understated)
content/mini-split-air-conditioners/senville-mini-split-reviews.mdx,35,Senville,SENL-09CD,Min heat °F,-22 (claimed),manufacturer,5°F to -15°F,WRONG,"""Claimed"" qualifier but listed as spec.",CORRECTED,B4: stripped -22F claim, applied -13F/-25C spec / ~5F effective per Senville LETO spec sheet
content/mini-split-air-conditioners/senville-mini-split-reviews.mdx,36,Senville,SENL-12CD,SEER2,19.0,manufacturer,21.2-21.3,WRONG,"Restated understatement.",CORRECTED,B4: applied 21.2/21.3 SEER2 per Senville LETO spec sheet (site was understated)
content/mini-split-air-conditioners/senville-mini-split-reviews.mdx,46,Senville,SENL series,Min heat °F,Down to -22°F (acknowledged ""independent testing suggests reasonable heating down to -5 to -10°F""),manufacturer / independent,Manufacturer max claim varies; real-world much higher,WRONG,"Article body acknowledges discrepancy. Should not be in spec table.",CORRECTED,B4: stripped -22F claim, applied -13F/-25C spec / ~5F effective per Senville LETO spec sheet
content/mini-split-air-conditioners/senville-mini-split-reviews.mdx,56,Senville,SENL,Failure rate (10yr),15-22%,independent reliability data,No verifiable public source,UNVERIFIABLE,"Cannot find public failure-rate study supporting 15-22% at 10 years; this is a fabricated reliability claim.",DELETED,B4+D: fabricated 15-22% failure rate line stripped (no public source)
content/mini-split-air-conditioners/mrcool-diy-mini-split-review.mdx,28,MrCool,DIY 4th Gen,SEER2,22,manufacturer,22 (4th Gen),OK,"Matches manufacturer published.",PENDING-RESEARCH,Section F: untouched per hard rule; verify before publishing
content/mini-split-air-conditioners/mrcool-diy-mini-split-review.mdx,28,MrCool,DIY 4th Gen,Min heat °F,-4,manufacturer,-4 (low-temp 4th Gen),OK,"Matches manufacturer published.",PENDING-RESEARCH,Section F: untouched per hard rule; verify before publishing
content/mini-split-air-conditioners/mrcool-diy-mini-split-review.mdx,40,MrCool,DIY-12-HP-WM-C-230C,SEER2,22.0,manufacturer,22.0,OK,"Matches.",PENDING-RESEARCH,Section F: untouched per hard rule; verify before publishing
content/mini-split-air-conditioners/mrcool-diy-mini-split-review.mdx,40,MrCool,DIY-12-HP-WM-C-230C,HSPF2,10.0,manufacturer,~10,OK,"Plausible per manufacturer.",PENDING-RESEARCH,Section F: untouched per hard rule; verify before publishing
content/mini-split-air-conditioners/mrcool-diy-mini-split-review.mdx,70,MrCool,DIY 4th Gen,Refrigerant,R-410A (pre-charged line sets),manufacturer,R-410A (pre-charged) on current 4th Gen,OK,"MrCool DIY 4th Gen pre-charged line sets are confirmed R-410A. NOTE: 2026 install-cutoff regulation applies to new residential heat-pump installations; flag this in body copy alongside the R-410A mention.",PENDING-RESEARCH,Section F: untouched per hard rule; verify before publishing
content/mini-split-air-conditioners/mrcool-diy-mini-split-review.mdx,204,MrCool,DIY 4th Gen,Warranty (yrs),7,manufacturer,7 (compressor) / 5 (parts),OK,"Matches.",PENDING-RESEARCH,Section F: untouched per hard rule; verify before publishing
content/hvac-brands/best-central-ac-brands.mdx,62,Carrier,Comfort 24ACC6,SEER2,14.3,manufacturer / AHRI,~14.3 (base efficiency tier),OK,"Realistic for Carrier's entry-tier.",PENDING-RESEARCH,Section F: untouched per hard rule; verify before publishing
content/hvac-brands/best-central-ac-brands.mdx,81,Trane,XV18,SEER2,18,manufacturer,~18,OK,"Matches.",OK-RETAINED,passed audit; left in place
content/hvac-brands/best-central-ac-brands.mdx,85,Lennox,XC25,SEER2,26,manufacturer,~26 SEER (older rating) / ~22-24 SEER2,UNVERIFIABLE,"XC25 was marketed at 26 SEER (pre-SEER2). The SEER2 equivalent would be ~22-24. Verify the SEER vs SEER2 distinction in the article body.",PENDING-RESEARCH,Section F: SEER vs SEER2 verification needed
content/hvac-brands/best-central-ac-brands.mdx,163,Carrier,Infinity 24VNA0,SEER2,24+,manufacturer,~24 (top tier),OK,"Plausible.",OK-RETAINED,passed audit; left in place
