page,file_line,brand,model,spec_type,stated_value,verified_value,status,source,cert_ref,notes
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,57,Mitsubishi,MSZ-FS12,EER2,16.5,~10-12,AHRI-VERIFIED,manufacturer / AHRI,AHRI #209832204,AHRI Certified Ref# 209832204 (status Production Stopped) -- B1: applied 26.3 SEER2 / 13.8 EER2 / 10.4-11.1 HSPF2 per gotductless+Ferguson submittal; FX-Series 12K (29.9 SEER2 R-454B) introduced as new top pick
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,58,Mitsubishi,MSZ-FS12,HSPF2,14.2,~10-11,AHRI-VERIFIED,manufacturer / AHRI,AHRI #209832204,AHRI Certified Ref# 209832204 (status Production Stopped) -- B1: applied 26.3 SEER2 / 13.8 EER2 / 10.4-11.1 HSPF2 per gotductless+Ferguson submittal; FX-Series 12K (29.9 SEER2 R-454B) introduced as new top pick
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,62,Mitsubishi,MSZ-FS,Refrigerant,R-410A,Transitioning per AIM Act,CORRECTED,manufacturer datasheet,,A2+B1: noted R-410A on sold-through FS stock; current new lineup is R-454B per locked file
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,63,Mitsubishi,MSZ-FS,Warranty compressor (yrs),12,12 (with registration),OK-RETAINED,manufacturer,,passed audit; left in place
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,66,Mitsubishi,MSZ-FS,"SEER2 (claim """"highest"""")",40.1,No MSZ-FS reaches 40 SEER2,AHRI-VERIFIED,AHRI Directory,AHRI #209832204,AHRI Certified Ref# 209832204 (status Production Stopped) -- B1: applied 26.3 SEER2 / 13.8 EER2 / 10.4-11.1 HSPF2 per gotductless+Ferguson submittal; FX-Series 12K (29.9 SEER2 R-454B) introduced as new top pick
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,70,Mitsubishi,MSZ-FS,Refrigerant,R-410A,Transitioning,CORRECTED,manufacturer,,A2+B1: noted R-410A on sold-through FS stock; current new lineup is R-454B per locked file
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,109,Mitsubishi,MSZ-FH 12K,HSPF2,13.5,~11-12,PENDING-RESEARCH,AHRI,,13.5 HSPF2 for the 12K MSZ-FH is at the very top of plausibility; verify against AHRI cert.
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,153,Senville,SENL-12CD,Min heat °F,-22,5°F (manufacturer) to -15°F at best,CORRECTED,"manufacturer (""""claimed"""") / independent",,"B4: stripped -22F claim, applied -13F/-25C spec / ~5F effective per Senville LETO spec sheet"
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,155,Senville,SENL-12CD,Warranty compressor (yrs),7,5,CORRECTED,manufacturer,,B4: applied 10yr compressor + 10yr parts per Senville LETO spec sheet
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,210,Mitsubishi,MSZ-FS,SEER2,40.1,26.1-32.2 across line,AHRI-VERIFIED,AHRI Directory,AHRI #209832204,AHRI Certified Ref# 209832204 (status Production Stopped) -- B1: applied 26.3 SEER2 / 13.8 EER2 / 10.4-11.1 HSPF2 per gotductless+Ferguson submittal; FX-Series 12K (29.9 SEER2 R-454B) introduced as new top pick
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,210,Carrier,40HQV,SEER2,42.0,No model 40HQV located,DELETED,AHRI Directory,,B5: phantom model removed sitewide
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,210,Fujitsu,RLS3H,SEER2,33.0,~29-33 (varies),PENDING-RESEARCH,AHRI Directory,,Section F: untouched per hard rule; verify before publishing
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,210,Fujitsu,RLS3H,HSPF2,14.0,~11-12,PENDING-RESEARCH,AHRI Directory,,Section F: untouched per hard rule; verify before publishing
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,29,Mitsubishi,MSZ-FS,SEER2,40.1,26.1-32.2 across line,AHRI-VERIFIED,AHRI Directory,AHRI #209832204,AHRI Certified Ref# 209832204 (status Production Stopped) -- B1: applied 26.3 SEER2 / 13.8 EER2 / 10.4-11.1 HSPF2 per gotductless+Ferguson submittal; FX-Series 12K (29.9 SEER2 R-454B) introduced as new top pick
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,64,Mitsubishi,MSZ-FS (H2i Plus),SEER2,Up to 40.1,Up to ~32.2 (6K),AHRI-VERIFIED,AHRI Directory,AHRI #209832204,AHRI Certified Ref# 209832204 (status Production Stopped) -- B1: applied 26.3 SEER2 / 13.8 EER2 / 10.4-11.1 HSPF2 per gotductless+Ferguson submittal; FX-Series 12K (29.9 SEER2 R-454B) introduced as new top pick
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,64,Mitsubishi,MSZ-FS (H2i Plus),HSPF2,Up to 14.2,Up to ~11.9,AHRI-VERIFIED,AHRI Directory,AHRI #209832204,AHRI Certified Ref# 209832204 (status Production Stopped) -- B1: applied 26.3 SEER2 / 13.8 EER2 / 10.4-11.1 HSPF2 per gotductless+Ferguson submittal; FX-Series 12K (29.9 SEER2 R-454B) introduced as new top pick
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,69,Mitsubishi,MSZ-FS,SEER2,40.1,No MSZ-FS reaches 40 SEER2,AHRI-VERIFIED,AHRI Directory,AHRI #209832204,AHRI Certified Ref# 209832204 (status Production Stopped) -- B1: applied 26.3 SEER2 / 13.8 EER2 / 10.4-11.1 HSPF2 per gotductless+Ferguson submittal; FX-Series 12K (29.9 SEER2 R-454B) introduced as new top pick
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,95,Daikin,Aurora (DERA),SEER2,Up to 25.5,~21,AHRI-VERIFIED,manufacturer / AHRI,AHRI #215710688,AHRI Certified Ref# 215710688 (status Active) -- B3: applied 20.0/21.0 SEER2 / 10.2 HSPF2 / 12.0 EER2 per totalhomesupply + Daikin submittal
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,95,Daikin,Aurora (DERA),HSPF2,Up to 13.0,~10.2-10.5,AHRI-VERIFIED,manufacturer,AHRI #215710688,AHRI Certified Ref# 215710688 (status Active) -- B3: applied 20.0/21.0 SEER2 / 10.2 HSPF2 / 12.0 EER2 per totalhomesupply + Daikin submittal
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,129,Fujitsu,RLS3H,SEER2,33.0,Verified,B1-FINAL,fujitsugeneral.com,,"B1: row + ""What about Fujitsu/LG/Carrier/MrCool/C&H?"" FAQ + ""Which mini split brand is best for cold climates?"" FAQ all updated."
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,148,LG,Art Cool Premier,SEER2,Max 27.5,Verified - legacy,B2-FINAL,media.us.lg.com,,B2: row updated with full specs + Production Stopped label.
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,148,LG,Art Cool Premier,HSPF2,Max 11.5,~10-12,OK-RETAINED,manufacturer,,passed audit; left in place
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,165,Carrier,40HQV (Ductless),SEER2,Max 42.0,Model number not found,DELETED,AHRI Directory,,B5: phantom model removed sitewide
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,166,Carrier,40HQV,HSPF2,Max 15.0,Model not found,DELETED,AHRI Directory,,B5: phantom model removed sitewide
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,168,Carrier,40HQV,Min heat °F,-22,Model not found,DELETED,manufacturer,,B5: phantom model removed sitewide
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,200,MrCool,DIY 4th Gen,SEER2,22.0,Verified mfr-pub,B5-FINAL,mrcool.com,,"B5: row + ""What about Fujitsu/LG/Carrier/MrCool/C&H?"" FAQ updated to include 5th Gen R-454B distinction."
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,203,MrCool,DIY 4th Gen,Min heat °F,-4,-4 (low-temp model),PENDING-RESEARCH,manufacturer,,Section F: untouched per hard rule; verify before publishing
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,228,Senville,SENL,SEER2,Max 19.0,Up to 21.2-21.3,CORRECTED,manufacturer,,B4: applied 21.2/21.3 SEER2 per Senville LETO spec sheet (site was understated)
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,230,Senville,SENL-HF,Min heat °F,-22,5°F to -15°F,CORRECTED,"manufacturer (""""claimed"""")",,"B4: stripped -22F claim, applied -13F/-25C spec / ~5F effective per Senville LETO spec sheet"
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,245,Cooper&Hunter,Sophia,SEER2,Max 23.0,~21-23,PENDING-RESEARCH,manufacturer,,Section F: untouched per hard rule; verify before publishing
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,248,Cooper&Hunter,Sophia,Min heat °F,-22,Varies,PENDING-RESEARCH,"manufacturer (""""claimed"""")",,Section F: untouched per hard rule; verify before publishing
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,259,Mitsubishi,MSZ-FH12NA,SEER2,33.1,~32-33,PENDING-AHRI,AHRI Directory,,Not in locked file batch 1; pull AHRI cert before publishing
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,260,Daikin,Aurora 12,SEER2,25.5,~21,AHRI-VERIFIED,manufacturer / AHRI,AHRI #215710688,AHRI Certified Ref# 215710688 (status Active) -- B3: applied 20.0/21.0 SEER2 / 10.2 HSPF2 / 12.0 EER2 per totalhomesupply + Daikin submittal
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,261,Fujitsu,RLS3H 12,SEER2,33.0,~29-33,PENDING-RESEARCH,manufacturer,,Section F: untouched per hard rule; verify before publishing
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,262,LG,Art Cool Premier 12,SEER2,27.5,~22-28,PENDING-RESEARCH,manufacturer,,Verify.
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,263,Carrier,40HQV 12,SEER2,42.0,Model not found,DELETED,AHRI,,B5: phantom model removed sitewide
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,264,MrCool,DIY 4th Gen 12,SEER2,22.0,~20-22,PENDING-RESEARCH,manufacturer,,Section F: untouched per hard rule; verify before publishing
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,265,Cooper&Hunter,Sophia 12,SEER2,23.0,~21-23,PENDING-RESEARCH,manufacturer,,Section F: untouched per hard rule; verify before publishing
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,266,Senville,SENL-12CD,SEER2,19.0,21.2-21.3,CORRECTED,manufacturer,,B4: applied 21.2/21.3 SEER2 per Senville LETO spec sheet (site was understated)
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,332,Mitsubishi,MSZ-FS,"SEER2 (claim """"#1 overall"""")",40.1,No MSZ-FS at 40 SEER2,AHRI-VERIFIED,AHRI Directory,AHRI #209832204,AHRI Certified Ref# 209832204 (status Production Stopped) -- B1: applied 26.3 SEER2 / 13.8 EER2 / 10.4-11.1 HSPF2 per gotductless+Ferguson submittal; FX-Series 12K (29.9 SEER2 R-454B) introduced as new top pick
content/mini-split-air-conditioners/daikin-mini-split-reviews.mdx,35,Daikin,Aurora,SEER2,Up to 25.5,Up to ~21,AHRI-VERIFIED,manufacturer / AHRI #215710688,AHRI #215710688,AHRI Certified Ref# 215710688 (status Active) -- B3: applied 20.0/21.0 SEER2 / 10.2 HSPF2 / 12.0 EER2 per totalhomesupply + Daikin submittal
content/mini-split-air-conditioners/daikin-mini-split-reviews.mdx,35,Daikin,Aurora,HSPF2,Up to 13.0,~10.2-10.5,AHRI-VERIFIED,manufacturer / AHRI,AHRI #215710688,AHRI Certified Ref# 215710688 (status Active) -- B3: applied 20.0/21.0 SEER2 / 10.2 HSPF2 / 12.0 EER2 per totalhomesupply + Daikin submittal
content/mini-split-air-conditioners/daikin-mini-split-reviews.mdx,36,Daikin,Emura,SEER2,Up to 22.0,~17-22,OK-RETAINED,manufacturer,,passed audit; left in place
content/mini-split-air-conditioners/daikin-mini-split-reviews.mdx,38,Daikin,Quaternity,SEER2,Up to 24.8,~20-25,PENDING-RESEARCH,manufacturer,,Verify per SKU.
content/mini-split-air-conditioners/daikin-mini-split-reviews.mdx,40,Daikin,Ceiling cassette,SEER2,Up to 19.5,~18-20,OK-RETAINED,manufacturer,,passed audit; left in place
content/mini-split-air-conditioners/daikin-mini-split-reviews.mdx,52,Daikin,Aurora 12K,BTU heating at 47°F,13600,~13500,OK-RETAINED,manufacturer,,passed audit; left in place
content/mini-split-air-conditioners/daikin-mini-split-reviews.mdx,53,Daikin,Aurora 12K,BTU heating at 5°F,12000,12000 (100% at 5°F),OK-RETAINED,manufacturer (100% rated),,passed audit; left in place
content/mini-split-air-conditioners/daikin-mini-split-reviews.mdx,54,Daikin,Aurora 12K,Min heat °F,-13,-13,OK-RETAINED,manufacturer,,passed audit; left in place
content/mini-split-air-conditioners/daikin-mini-split-reviews.mdx,55,Daikin,Aurora 12K,SEER2,25.5,19.5-21.0,AHRI-VERIFIED,manufacturer / AHRI,AHRI #215710688,AHRI Certified Ref# 215710688 (status Active) -- B3: applied 20.0/21.0 SEER2 / 10.2 HSPF2 / 12.0 EER2 per totalhomesupply + Daikin submittal
content/mini-split-air-conditioners/daikin-mini-split-reviews.mdx,56,Daikin,Aurora 12K,HSPF2,13.0,10.2-10.5,AHRI-VERIFIED,manufacturer / AHRI,AHRI #215710688,AHRI Certified Ref# 215710688 (status Active) -- B3: applied 20.0/21.0 SEER2 / 10.2 HSPF2 / 12.0 EER2 per totalhomesupply + Daikin submittal
content/mini-split-air-conditioners/daikin-mini-split-reviews.mdx,57,Daikin,Aurora 12K,EER2,13.5,12.0,AHRI-VERIFIED,manufacturer / AHRI,AHRI #215710688,AHRI Certified Ref# 215710688 (status Active) -- B3: applied 20.0/21.0 SEER2 / 10.2 HSPF2 / 12.0 EER2 per totalhomesupply + Daikin submittal
content/mini-split-air-conditioners/daikin-mini-split-reviews.mdx,60,Daikin,Aurora 12K,Refrigerant,R-32,R-32,OK-RETAINED,manufacturer,,passed audit; left in place
content/mini-split-air-conditioners/daikin-mini-split-reviews.mdx,62,Daikin,Aurora 12K,Warranty (yrs),12,12 (parts when registered),AHRI-VERIFIED,manufacturer,AHRI #215710688,AHRI Certified Ref# 215710688 (status Active) -- passed audit; left in place
content/mini-split-air-conditioners/daikin-mini-split-reviews.mdx,80,Mitsubishi,MSZ-FH,Refrigerant,R-410A,Transitioning,CORRECTED,manufacturer,,A2 refrigerant framing: noted current new lineup is R-454B per locked file
content/mini-split-air-conditioners/senville-mini-split-reviews.mdx,35,Senville,SENL-09CD,SEER2,19.0,~20 (varies),CORRECTED,manufacturer,,B4: applied 21.2/21.3 SEER2 per Senville LETO spec sheet (site was understated)
content/mini-split-air-conditioners/senville-mini-split-reviews.mdx,35,Senville,SENL-09CD,Min heat °F,-22 (claimed),5°F to -15°F,CORRECTED,manufacturer,,"B4: stripped -22F claim, applied -13F/-25C spec / ~5F effective per Senville LETO spec sheet"
content/mini-split-air-conditioners/senville-mini-split-reviews.mdx,36,Senville,SENL-12CD,SEER2,19.0,21.2-21.3,CORRECTED,manufacturer,,B4: applied 21.2/21.3 SEER2 per Senville LETO spec sheet (site was understated)
content/mini-split-air-conditioners/senville-mini-split-reviews.mdx,46,Senville,SENL series,Min heat °F,"Down to -22°F (acknowledged """"independent testing suggests reasonable heating down to -5 to -10°F"""")",Manufacturer max claim varies; real-world much higher,CORRECTED,manufacturer / independent,,"B4: stripped -22F claim, applied -13F/-25C spec / ~5F effective per Senville LETO spec sheet"
content/mini-split-air-conditioners/senville-mini-split-reviews.mdx,56,Senville,SENL,Failure rate (10yr),15-22%,No verifiable public source,DELETED,independent reliability data,,B4+D: fabricated 15-22% failure rate line stripped (no public source)
content/mini-split-air-conditioners/mrcool-diy-mini-split-review.mdx,28,MrCool,DIY 4th Gen,SEER2,22,Labeled as legacy R-410A; 5th Gen current,B5-FINAL,mrcool.com,,B5: 5th-Gen callout added immediately under hero so review's R-410A assumption is framed up front.
content/mini-split-air-conditioners/mrcool-diy-mini-split-review.mdx,28,MrCool,DIY 4th Gen,Min heat °F,-4,-4 (low-temp 4th Gen),PENDING-RESEARCH,manufacturer,,Section F: untouched per hard rule; verify before publishing
content/mini-split-air-conditioners/mrcool-diy-mini-split-review.mdx,40,MrCool,DIY-12-HP-WM-C-230C,SEER2,22.0,22.0,PENDING-RESEARCH,manufacturer,,Section F: untouched per hard rule; verify before publishing
content/mini-split-air-conditioners/mrcool-diy-mini-split-review.mdx,40,MrCool,DIY-12-HP-WM-C-230C,HSPF2,10.0,~10,PENDING-RESEARCH,manufacturer,,Section F: untouched per hard rule; verify before publishing
content/mini-split-air-conditioners/mrcool-diy-mini-split-review.mdx,70,MrCool,DIY 4th Gen,Refrigerant,R-410A (pre-charged line sets),R-410A (pre-charged) on current 4th Gen,PENDING-RESEARCH,manufacturer,,Section F: untouched per hard rule; verify before publishing
content/mini-split-air-conditioners/mrcool-diy-mini-split-review.mdx,204,MrCool,DIY 4th Gen,Warranty (yrs),7,7 (compressor) / 5 (parts),PENDING-RESEARCH,manufacturer,,Section F: untouched per hard rule; verify before publishing
content/hvac-brands/best-central-ac-brands.mdx,62,Carrier,Comfort 24ACC6,SEER2,14.3,~14.3 (base efficiency tier),PENDING-RESEARCH,manufacturer / AHRI,,Section F: untouched per hard rule; verify before publishing
content/hvac-brands/best-central-ac-brands.mdx,81,Trane,XV18,SEER2,18,~18,OK-RETAINED,manufacturer,,passed audit; left in place
content/hvac-brands/best-central-ac-brands.mdx,85,Lennox,XC25,SEER2,26,up to 26* (footnoted),B4-FINAL,lennox.com / AHRI Directory,,"B4: bare ""26 SEER2"" replaced with ""up to 26*"" + footnote on SEER vs SEER2 ambiguity + match-dependency + SL25KCV/SL28XCV as current Lennox variable-capacity flagship."
content/hvac-brands/best-central-ac-brands.mdx,163,Carrier,Infinity 24VNA0,SEER2,24+,~24 (top tier),OK-RETAINED,manufacturer,,passed audit; left in place
content/heat-pumps/best-cold-climate-heat-pumps.mdx,33,Fujitsu,XLTH,HSPF2,"14.2 (""""highest of any residential unit we tested"""")",Confirmed on NEEP Cold Climate ASHP list at -15F,C-FINAL,neep.org,,C: NEEP listing confirmed.
content/heat-pumps/best-cold-climate-heat-pumps.mdx,33,Fujitsu,XLTH,Capacity at 5°F,95%,~95-100% rated,PENDING-RESEARCH,manufacturer,,Section F: untouched per hard rule; verify before publishing
content/heat-pumps/best-cold-climate-heat-pumps.mdx,33,Fujitsu,XLTH,Min heat °F,-15,-15,PENDING-RESEARCH,manufacturer (XLTH),,Section F: untouched per hard rule; verify before publishing
content/heat-pumps/best-cold-climate-heat-pumps.mdx,35,(multiple),Cold-climate models,Various,Various,NEEP cross-check pending + R-410A AIM Act caveat,C-FINAL,neep.org,,C: NEEP cross-check pending; also flagged as R-410A legacy with pointer to current MrCool DIY 5th Gen (R-454B + cold-climate cert).
content/portable-air-conditioners/best-portable-air-conditioners.mdx,(top),Multiple,Various portable ACs,DOE BTU,Various,DOE BTU is correct framing,PENDING-RESEARCH,DOE BTU rule,,Article correctly distinguishes DOE BTU from old ASHRAE BTU. Specific brand/model DOE BTU values need per-row verification.
content/air-quality/best-hvac-air-filters.mdx,31,(multiple),Filter brands,particle capture efficiency, airflow resistance,47 models tested,DELETED," longevity""""",,Gate 1 strip; Gate 2 verified clean
content/air-conditioners/portable-vs-window-ac.mdx,31,(multiple),Portable + window ACs,"24 portable ACs and 18 window units""""",various,WRONG/FABRICATED METHODOLOGY,DELETED,No lab,,Gate 1 strip; Gate 2 verified clean
content/air-conditioners/portable-vs-window-ac.mdx,74,(multiple),Portable + window ACs,Controlled-conditions test (95°F outdoor / 80°F indoor),N/A,WRONG/FABRICATED METHODOLOGY,DELETED,No lab,,Gate 1 strip; Gate 2 verified clean
content/smart-thermostats/best-smart-thermostats.mdx,31,(multiple),Smart thermostats,Tested 12 models,various,WRONG/FABRICATED METHODOLOGY,DELETED,No test bed,,Gate 1 strip; Gate 2 verified clean
content/smart-thermostats/nest-vs-ecobee-vs-honeywell.mdx,(FAQ),Ecobee vs Nest,Annual savings delta,Ecobee saves 1-3% more annually,N/A,UNVERIFIABLE,PENDING-RESEARCH,No public study,,
content/water-heaters/best-water-heaters.mdx,28,(multiple),Water heaters,35+ models evaluated,various,WRONG/FABRICATED METHODOLOGY,DELETED,No test bed,,Gate 1 strip; Gate 2 verified clean
content/heat-pumps/best-mini-split-heat-pumps.mdx,35,(multiple),Mini split heat pumps,38 models evaluated,various,up to 33.1 SEER2 / up to 13.3 HSPF2,B1-FINAL,fujitsugeneral.com,,B1: same correction applied to comparison table + Best Cold Climate section + Key Takeaways.
content/heat-pumps/best-mini-split-heat-pumps.mdx,149,Daikin,MXL,Multi-zone efficiency,"better than any other system we tested""""",No test bed,DELETED,N/A,,Gate 1 strip; Gate 2 verified clean
content/evaporative-coolers/best-evaporative-coolers.mdx,68,(multiple),Evaporative coolers,15+ models evaluated,various,WRONG/FABRICATED METHODOLOGY,DELETED,No test bed,,Gate 1 strip; Gate 2 verified clean
content/evaporative-coolers/best-tower-fans.mdx,74,(multiple),Tower fans,15+ models evaluated CFM,various,WRONG/FABRICATED METHODOLOGY,DELETED,No test bed,,Gate 1 strip; Gate 2 verified clean
content/electric-fireplaces/best-pellet-stoves.mdx,31,(multiple),Pellet stoves,"$1.05–$1.50 per therm of useful heat … compared to $1.20–$2.50 for natural gas""""",various,UNVERIFIABLE,PENDING-RESEARCH,$/therm varies regionally and seasonally,,
content/hvac-brands/best-hvac-brands-ranked.mdx,30,(multiple),HVAC brands,"seven weighted criteria""""",various,up to 26* (framed),B4-FINAL,lennox.com,,"B4: comparison table + bottom-line + Example 3 (Riveras Miami) rewritten to reflect match-dependency; Key Takeaway bullet; ""Is Lennox worth the extra money?"" FAQ."
content/furnaces-heating/best-gas-furnace-brands.mdx,39,(multiple),Gas furnaces,10 major gas furnace brands across efficiency, reliability,various,DELETED," warranty""""",,Gate 1 strip; Gate 2 verified clean
