file,line,quoted_sentence,classification,action_taken
content/mini-split-air-conditioners/cassette-ceiling-air-conditioners.mdx,61,"- The federal 25C/25D tax credits expired Dec 31, 2025 (OBBBA). For 2026 installs, factor in state and utility rebates instead.",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/cassette-ceiling-air-conditioners.mdx,87,"question: ""Are there tax credits available?"",",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/cassette-ceiling-air-conditioners.mdx,88,"answer: ""The federal Section 25C credit (heat pumps) and Section 25D credit (geothermal/solar/batteries) both expired for property placed in service after Dec 31, 2025 under the OBBBA. For 2026 installs, the active pathways are state and utility rebates (typically $500–$3,000), the IRA HEAR program ",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/how-much-does-mini-split-cost-to-run.mdx,228,"- **Mini splits save $600–$1,000/year** compared to window AC + electric baseboard heat",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-maintenance-guide.mdx,108,"- The federal 25C/25D tax credits expired Dec 31, 2025 (OBBBA). For 2026 installs, factor in state and utility rebates instead.",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/best-mini-split-for-garage.mdx,69,"| 2 | MrCool DIY 4th Gen 24K | 24,000 | `PENDING-RESEARCH` | $1,500–$2,000 | Large garages, DIY |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/best-mini-split-for-garage.mdx,72,"| 5 | Fujitsu RLS3 18K | 18,000 | `PENDING-RESEARCH` | $1,600–$2,000 | Premium, quiet |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/best-mini-split-for-garage.mdx,82,"- The federal 25C/25D tax credits expired Dec 31, 2025 (OBBBA). For 2026 installs, factor in state and utility rebates instead.",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/best-mini-split-for-garage.mdx,108,"question: ""Are there tax credits available?"",",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/best-mini-split-for-garage.mdx,109,"answer: ""The federal Section 25C credit (heat pumps) and Section 25D credit (geothermal/solar/batteries) both expired for property placed in service after Dec 31, 2025 under the OBBBA. For 2026 installs, the active pathways are state and utility rebates (typically $500–$3,000), the IRA HEAR program ",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/ac-dry-mode-vs-dehumidifier.mdx,64,"- The federal 25C/25D tax credits expired Dec 31, 2025 (OBBBA). For 2026 installs, factor in state and utility rebates instead.",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/ac-dry-mode-vs-dehumidifier.mdx,90,"question: ""Are there tax credits available?"",",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/ac-dry-mode-vs-dehumidifier.mdx,91,"answer: ""The federal Section 25C credit (heat pumps) and Section 25D credit (geothermal/solar/batteries) both expired for property placed in service after Dec 31, 2025 under the OBBBA. For 2026 installs, the active pathways are state and utility rebates (typically $500–$3,000), the IRA HEAR program ",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/best-5-zone-mini-split.mdx,68,"**State + utility rebates (varies):** $1,000–$8,000+ off — the federal 25C/25D credits expired Dec 31, 2025 (OBBBA), so 2026 installs no longer qualify for the federal $2,000 credit; state programs (HEAR, HOMES, utility rebates) are the active pathways.",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/best-5-zone-mini-split.mdx,81,"| State / utility rebates (varies) | -$500 to -$8,000+ (HEAR / HOMES / utility — federal 25C/25D expired Dec 31, 2025) |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/best-5-zone-mini-split.mdx,95,"- The federal 25C/25D tax credits expired Dec 31, 2025 (OBBBA). For 2026 installs, factor in state and utility rebates instead.",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/best-5-zone-mini-split.mdx,102,"answer: ""A 5-zone mini split system costs $10,000–$18,000 professionally installed, depending on brand tier and installation complexity. DIY options like MrCool reduce costs by $3,000–$6,000. The federal 25C/25D tax credits expired Dec 31, 2025 (OBBBA) — for 2026 installs, state and utility rebates ",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/best-4-zone-mini-split.mdx,67,"**State + utility rebates (varies):** $1,000–$8,000+ off — the federal 25C/25D credits expired Dec 31, 2025 (OBBBA), so 2026 installs no longer qualify for the federal $2,000 credit; state programs (HEAR, HOMES, utility rebates) are the active pathways.",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/best-4-zone-mini-split.mdx,80,"| State / utility rebates (varies) | -$500 to -$8,000+ (HEAR / HOMES / utility — federal 25C/25D expired Dec 31, 2025) |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/best-4-zone-mini-split.mdx,94,"- The federal 25C/25D tax credits expired Dec 31, 2025 (OBBBA). For 2026 installs, factor in state and utility rebates instead.",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/best-4-zone-mini-split.mdx,101,"answer: ""A 4-zone mini split system costs $8,000–$14,000 professionally installed, depending on brand tier and installation complexity. DIY options like MrCool reduce costs by $3,000–$6,000. The federal 25C/25D tax credits expired Dec 31, 2025 (OBBBA) — for 2026 installs, state and utility rebates (",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/what-is-a-mini-split.mdx,29,"Mini splits have been the dominant HVAC technology in Asia, Europe, and South America for decades. They're now the fastest-growing segment of the US HVAC market, driven by superior efficiency, falling prices, state and utility rebates (the federal 25C/25D tax credits expired Dec 31, 2025 under the O",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/what-is-a-mini-split.mdx,43,"| Typical cost (12K BTU) | $1,500–$4,500 installed | $3,500–$7,500 (with ducts) | $200–$600 | $300–$700 |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/what-is-a-mini-split.mdx,110,"| Cost per zone | $1,500–$4,500 | $2,000–$3,500 |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/what-is-a-mini-split.mdx,166,"answer: ""Mini splits are permanently installed, dramatically quieter (19–30 dB vs 50–60 dB), 50–70% more energy efficient, don't block windows, provide both cooling and heating, and last 15–20 years vs 5–10 years for window units. Window ACs are cheaper upfront ($200–$600 vs $1,500–$4,500 installed)",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/what-is-a-mini-split.mdx,190,"answer: ""Equipment alone: $600–$2,600 depending on brand and size. Professionally installed (single zone): $1,500–$4,500. DIY installed: $800–$2,000. Multi-zone systems: $4,000–$18,000 installed. The federal 25C/25D tax credits expired Dec 31, 2025 (OBBBA) — for 2026 installs, state and utility reba",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mrcool-diy-mini-split-review.mdx,48,"| DIY-24-HP-WM-C-230C | 24,000 | 19.0 | 9.0 | 11.0 | -4°F | 29 dB | 55 dB | $1,500–$2,000 |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mrcool-diy-mini-split-review.mdx,55,"| DIY-12-HP-WM-230B | 12,000 | 20.0 | 9.0 | 5°F | 27 dB | $900–$1,200 |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mrcool-diy-mini-split-review.mdx,150,"Industry data suggests MrCool units have a higher refrigerant leak rate (8–12% over 10 years) compared to professionally installed brazed systems (2–5%). A refrigerant leak means reduced cooling/heating performance, potential compressor damage, and a repair bill of $200–$600.",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mrcool-diy-mini-split-review.mdx,172,| Refrigerant leak (quick-connect) | 5–8% | $200–$600 |,OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/best-2-zone-mini-split.mdx,64,"**State + utility rebates (varies):** $500–$5,000+ off — the federal 25C/25D credits expired Dec 31, 2025 (OBBBA), so 2026 installs no longer qualify for the federal $2,000 credit; state programs (HEAR, HOMES, utility rebates) are the active pathways.",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/best-2-zone-mini-split.mdx,77,"| State / utility rebates (varies) | -$500 to -$5,000+ (HEAR / HOMES / utility — federal 25C/25D expired Dec 31, 2025) |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/best-2-zone-mini-split.mdx,91,"- The federal 25C/25D tax credits expired Dec 31, 2025 (OBBBA). For 2026 installs, factor in state and utility rebates instead.",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/best-2-zone-mini-split.mdx,98,"answer: ""A 2-zone mini split system costs $4,000–$8,000 professionally installed, depending on brand tier and installation complexity. DIY options like MrCool reduce costs by $3,000–$6,000. The federal 25C/25D tax credits expired Dec 31, 2025 (OBBBA) — for 2026 installs, state and utility rebates (H",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-line-set-covers.mdx,62,"- The federal 25C/25D tax credits expired Dec 31, 2025 (OBBBA). For 2026 installs, factor in state and utility rebates instead.",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-line-set-covers.mdx,88,"question: ""Are there tax credits available?"",",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-line-set-covers.mdx,89,"answer: ""The federal Section 25C credit (heat pumps) and Section 25D credit (geothermal/solar/batteries) both expired for property placed in service after Dec 31, 2025 under the OBBBA. For 2026 installs, the active pathways are state and utility rebates (typically $500–$3,000), the IRA HEAR program ",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/best-3-zone-mini-split.mdx,65,"**State + utility rebates (varies):** $500–$5,000+ off — the federal 25C/25D credits expired Dec 31, 2025 (OBBBA), so 2026 installs no longer qualify for the federal $2,000 credit; state programs (HEAR, HOMES, utility rebates) are the active pathways.",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/best-3-zone-mini-split.mdx,75,"| Materials (line sets, covers) | $600–$1,050 |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/best-3-zone-mini-split.mdx,78,"| State / utility rebates (varies) | -$500 to -$8,000+ (HEAR / HOMES / utility — federal 25C/25D expired Dec 31, 2025) |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/best-3-zone-mini-split.mdx,92,"- The federal 25C/25D tax credits expired Dec 31, 2025 (OBBBA). For 2026 installs, factor in state and utility rebates instead.",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/best-3-zone-mini-split.mdx,99,"answer: ""A 3-zone mini split system costs $6,000–$11,000 professionally installed, depending on brand tier and installation complexity. DIY options like MrCool reduce costs by $3,000–$6,000. The federal 25C/25D tax credits expired Dec 31, 2025 (OBBBA) — for 2026 installs, state and utility rebates (",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-air-conditioners.mdx,35,"Mini split air conditioners deliver targeted heating and cooling to individual rooms without ductwork, operating at 25–40% higher efficiency than conventional central HVAC systems. A single-zone mini split costs $1,500–$4,500 installed, runs on 500–1,500 watts, and can cut your energy bills by $500–",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-air-conditioners.mdx,192,"| Single-zone 24K | 24,000 | $1,200–$2,800 | $2,800–$5,500 |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-air-conditioners.mdx,194,"| 2-zone | 18,000–24,000 | $2,000–$4,000 | $4,000–$8,000 |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-air-conditioners.mdx,210,"| Electrical connection | $200–$600 | Dedicated circuit, disconnect, wiring |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-air-conditioners.mdx,263,"**Best budget option:** Senville LETO SENL-12CD. Per the manufacturer spec sheet, 21.2/21.3 SEER2 with R-454B refrigerant and a 10-year compressor + parts warranty, at $600–$900 for the equipment. The catch: thinner copper, louder operation (28 dB indoor minimum), and less responsive tech support th",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-air-conditioners.mdx,391,## Tax Credits and Rebates (2026),OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-air-conditioners.mdx,393,"**Federal Section 25C tax credit — EXPIRED for installs after Dec 31, 2025.** The federal 25C credit (which covered up to $2,000 per year for qualifying heat pump installations meeting CEE Tier 1 or higher efficiency thresholds: SEER2 16+, EER2 12+, HSPF2 9+) expired under the OBBBA (PL 119-21, sign",EXPIRED_FRAMED,OK — explicit past-tense / OBBBA-expired / negative-eligibility sentence
content/mini-split-air-conditioners/mini-split-air-conditioners.mdx,399,"**State and utility rebates:** Many states and utilities offer additional rebates of $200–$2,000 for qualifying mini split heat pump installations. Check the DSIRE database (dsireusa.org) for incentives in your area.",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-air-conditioners.mdx,402,"**Don't leave money on the table.** The federal 25C/25D tax credits expired Dec 31, 2025 (OBBBA) — but the IRA HEAR rebate (income-qualified up to $8,000), HOMES (open to all incomes, performance-based), and state/utility incentives are still active and can offset 30–60% of a 2026 mini split install",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-air-conditioners.mdx,415,"- **Federal 25C tax credit expired** for installs after Dec 31, 2025 (OBBBA); for 2026, IRA HEAR (income-qualified, up to $8,000) and HOMES (open to all incomes, performance-based) plus state/utility rebates remain the active pathways",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-air-conditioners.mdx,470,"{ label: ""IRS — Energy Efficient Home Improvement Credit (25C)"", url: ""https://www.irs.gov/credits-deductions/energy-efficient-home-improvement-credit"" },",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-installation-cost.mdx,20,"- label: ""IRS — Energy Efficient Home Improvement Credit (25C)""",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-installation-cost.mdx,28,"A single-zone mini split costs $1,500–$4,500 fully installed in 2026, with the national average at $3,000. Multi-zone systems run $4,000–$18,000 depending on the number of zones and brand tier. DIY installation of a MrCool or Senville unit cuts the total to $800–$2,000 by eliminating $1,000–$3,000 i",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-installation-cost.mdx,30,"These prices include equipment, labor, materials, and basic electrical work. Below you'll find a line-item cost breakdown for every component, plus real-world pricing for single-zone, multi-zone, and DIY scenarios. We also cover the tax credits and rebates that can reduce your out-of-pocket cost by ",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-installation-cost.mdx,36,| System Configuration | Equipment Cost | Labor Cost | Total Installed | After Tax Credits* |,OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-installation-cost.mdx,38,"| Single-zone 9K (budget) | $600–$1,000 | $800–$1,500 | $1,400–$2,500 | $1,400–$2,500 |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-installation-cost.mdx,39,"| Single-zone 12K (mid-tier) | $900–$1,600 | $1,000–$2,000 | $1,900–$3,600 | $1,900–$3,600 |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-installation-cost.mdx,40,"| Single-zone 12K (premium) | $1,400–$2,200 | $1,200–$2,500 | $2,600–$4,700 | $600–$2,700 |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-installation-cost.mdx,41,"| Single-zone 24K (mid-tier) | $1,200–$2,200 | $1,200–$2,200 | $2,400–$4,400 | $400–$2,400 |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-installation-cost.mdx,42,"| 2-zone (mid-tier) | $2,000–$3,500 | $2,000–$3,500 | $4,000–$7,000 | $2,000–$5,000 |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-installation-cost.mdx,47,"| DIY single-zone 12K + electrician | $800–$1,500 | $200–$500 | $1,000–$2,000 | $1,000–$2,000 |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-installation-cost.mdx,49,"*Note: the federal 25C/25D tax credits expired Dec 31, 2025 under the OBBBA. For 2026 installs, state and utility rebates (HEAR, HOMES, local utility programs) are the active pathways.",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-installation-cost.mdx,80,| Dedicated 240V circuit (20A) | $300–$600 | Licensed electrician | Required for most mini splits |,OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-installation-cost.mdx,117,"| Slim duct (concealed) install | +$400–$1,200 | Ductwork, ceiling modifications |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-installation-cost.mdx,131,"| Labor (installation) | $1,200 |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-installation-cost.mdx,136,"| Federal 25C tax credit | $0 (expired Dec 31, 2025 — OBBBA) |",EXPIRED_FRAMED,OK — explicit past-tense / OBBBA-expired / negative-eligibility sentence
content/mini-split-air-conditioners/mini-split-installation-cost.mdx,149,"| Electrical (dedicated circuit, disconnect) | $600 |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-installation-cost.mdx,150,"| Materials (3 line sets, covers, supplies) | $600 |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-installation-cost.mdx,154,"| Federal 25C tax credit | $0 (expired Dec 31, 2025 — OBBBA) |",EXPIRED_FRAMED,OK — explicit past-tense / OBBBA-expired / negative-eligibility sentence
content/mini-split-air-conditioners/mini-split-installation-cost.mdx,172,"| Federal 25C tax credit | $0 (expired Dec 31, 2025 — OBBBA; also: DIY installs typically didn't qualify even under pre-expiration 25C, which required professional installation) |",EXPIRED_FRAMED,OK — explicit past-tense / OBBBA-expired / negative-eligibility sentence
content/mini-split-air-conditioners/mini-split-installation-cost.mdx,184,"| Materials (5 line sets, covers, pumps, supplies) | $1,200 |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-installation-cost.mdx,188,"| Federal 25C tax credit | $0 (expired Dec 31, 2025 — OBBBA) |",EXPIRED_FRAMED,OK — explicit past-tense / OBBBA-expired / negative-eligibility sentence
content/mini-split-air-conditioners/mini-split-installation-cost.mdx,194,## Tax Credits and Rebates (2026),OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-installation-cost.mdx,196,"### Federal Tax Credit (25C — EXPIRED for installs after Dec 31, 2025)",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-installation-cost.mdx,198,"The federal Section 25C Energy Efficient Home Improvement Credit (which covered up to **$2,000 per year** for qualifying heat pump installations) **expired for property placed in service after Dec 31, 2025** under the OBBBA (PL 119-21, signed July 4, 2025). The credit no longer applies to 2026 insta",EXPIRED_FRAMED,OK — explicit past-tense / OBBBA-expired / negative-eligibility sentence
content/mini-split-air-conditioners/mini-split-installation-cost.mdx,207,"If you installed a qualifying heat pump in 2024 or 2025 and didn't claim the 25C credit, you can typically file an amended return (Form 1040-X) to claim it. 25C does NOT allow carryforward of an unused credit.",EXPIRED_FRAMED,OK — explicit past-tense / OBBBA-expired / negative-eligibility sentence
content/mini-split-air-conditioners/mini-split-installation-cost.mdx,232,"| New York (NYSERDA) | $1,000–$2,000 | Income-qualified up to $14,000 |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-installation-cost.mdx,238,"**Stack your 2026 incentives.** The federal 25C credit ($2,000) is no longer available for 2026 installs (expired Dec 31, 2025 — OBBBA). For 2026, you can combine IRA HEAR rebates (up to $8,000, income-qualified) with IRA HOMES rebates (performance-based, open to all incomes) plus state/utility reba",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-installation-cost.mdx,245,"| Equipment cost (12K) | $800–$1,500 | $1,000–$2,000 |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-installation-cost.mdx,246,"| Installation labor | $0 (your time: 4–8 hrs) | $1,200–$2,500 |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-installation-cost.mdx,248,"| Total installed | $1,000–$2,000 | $2,200–$4,500 |",OTHER,OK — FAQ question / URL / label / state-program / no-credit statement / incidental
content/mini-split-air-conditioners/mini-split-installation-cost.mdx,279,"- **Federal 25C tax credit expired** for installs after Dec 31, 2025 (OBBBA); for 2026 installs the active federal pathways are **IRA HEAR** (income-qualified, up to $8,000) and **IRA HOMES** (open to all incomes, performance-based)",EXPIRED_FRAMED,OK — explicit past-tense / OBBBA-expired / negative-eligibility sentence
